SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
164,1,1,0,1,4,0
46,4,1,0,1,3,0
31,4,0,0,1,2,0
103,3,1,57,2,2,1
33,2,0,0,1,2,1
12,4,1,57,1,2,1
35,3,0,67,1,3,1
211,4,0,109,1,11,1
1,2,0,37,2,1,1
78,4,1,0,2,2,1
164,4,1,105,2,5,1
206,5,1,37,1,1,1
216,6,1,67,1,4,1
46,5,0,37,1,1,1
7,3,1,42,1,2,1
202,5,0,221,4,4,1
46,3,0,0,1,3,0
210,2,1,0,1,3,0
36,5,1,0,1,3,0
45,3,1,0,1,4,0
12,4,1,0,1,4,0
220,5,0,0,1,7,0
25,1,1,0,1,3,0
18,5,1,0,1,1,0
213,2,1,0,1,3,1
123,4,0,106,2,1,1
219,3,0,82,1,3,1
40,3,0,106,1,3,1
26,4,1,0,1,2,0
34,1,0,0,1,1,0
177,4,0,25,1,3,1
59,3,1,151,2,2,1
46,5,0,0,1,1,0
46,4,1,25,1,1,1
28,5,1,0,1,4,0
44,1,1,0,1,3,0
18,1,0,0,2,1,0
75,5,0,41,2,1,1
35,4,0,0,1,2,0
118,1,0,123,2,2,1
83,3,1,0,0,23,1
177,5,0,120,2,1,1
83,4,1,141,2,4,1
4,4,0,25,1,1,1
188,4,1,41,2,1,1
201,4,1,141,3,4,1
202,4,0,150,4,4,1
210,5,0,183,2,9,1
40,4,1,0,1,3,0
36,1,1,0,1,2,0
46,4,0,0,1,1,0
15,4,0,25,1,3,1
18,2,0,0,1,3,0
30,5,0,0,1,3,0
15,3,1,58,1,1,1
202,2,0,183,3,4,1
216,4,1,71,1,3,1
202,3,1,67,2,1,1
36,4,0,0,1,1,0
44,3,1,0,1,3,0
162,4,1,0,1,1,0
46,5,0,0,1,3,0
7,4,1,0,1,3,0
12,5,0,0,1,1,0
26,5,1,0,1,2,0
26,4,0,0,1,1,0
213,4,1,0,1,1,0
29,1,1,0,1,1,0
36,2,0,0,1,2,0
44,4,1,58,1,1,1
123,1,0,106,2,4,1
4,3,1,82,2,3,1
36,5,1,0,1,1,0
12,4,0,0,1,3,0
96,2,1,0,2,3,1
202,2,0,190,4,5,1
37,4,1,0,1,3,0
35,2,0,0,1,3,0
46,1,1,0,1,2,0
201,2,1,159,5,2,1
107,4,0,82,2,3,1
46,1,0,0,1,3,0
0,1,1,102,2,3,1
50,6,0,89,2,4,1
43,3,0,0,1,3,0
105,4,1,67,2,2,1
202,4,0,141,3,2,1
96,4,1,110,2,4,1
50,3,1,0,2,3,1
26,5,0,0,1,1,0
36,2,1,0,1,2,0
100,4,1,0,2,3,1
22,2,0,0,1,3,0
59,5,1,0,2,4,1
105,1,0,0,1,2,1
222,2,0,0,2,2,1
206,2,1,0,2,0,1
103,4,1,0,2,1,1
166,3,0,0,2,2,1
212,2,0,82,2,3,1
201,3,1,143,5,5,1
72,3,0,79,2,2,1
25,1,1,0,1,4,0
59,2,1,78,2,3,1
68,3,0,82,2,3,1
98,4,1,82,2,3,1
37,4,0,0,1,3,0
11,2,1,0,1,3,0
38,5,1,0,1,11,0
46,5,1,0,1,3,0
4,3,1,67,1,3,1
46,6,1,0,1,3,0
26,5,0,0,1,3,0
48,4,0,37,2,1,1
35,4,1,0,1,4,0
18,3,0,82,1,3,1
0,5,0,0,1,2,0
227,5,1,181,2,13,1
18,1,1,63,1,3,1
15,4,0,82,1,3,1
22,2,0,0,1,1,0
164,3,1,0,1,3,0
4,4,0,58,1,3,1
0,1,0,0,1,7,0
46,4,1,0,1,4,0
18,6,0,0,1,5,0
0,2,0,0,1,1,0
35,5,0,0,1,3,0
18,1,1,0,1,1,0
155,5,0,0,1,2,0
36,5,1,58,1,3,1
26,5,1,0,1,1,0
18,2,0,67,1,5,1
198,1,1,17,2,2,1
208,3,0,67,2,2,1
201,1,0,82,2,2,1
44,4,1,0,1,1,0
32,4,0,17,1,9,1
4,4,0,57,2,2,1
15,3,1,0,1,3,0
12,3,0,0,2,2,0
192,2,0,141,2,3,1
6,4,0,187,2,2,1
155,2,0,0,1,2,0
46,5,1,0,1,1,0
187,3,1,106,2,9,1
46,4,1,0,1,4,0
46,5,0,78,1,9,1
4,3,0,0,1,1,0
0,1,1,165,2,2,1
202,2,1,176,3,1,1
172,4,0,0,2,1,1
199,3,0,0,1,2,0
170,2,0,141,2,2,1
0,2,0,67,2,3,1
151,3,0,114,2,2,1
12,4,0,0,1,3,1
37,5,0,0,1,1,0
4,3,1,82,2,4,1
190,4,1,67,2,3,1
19,2,1,0,1,3,0
30,1,1,0,1,3,0
18,5,1,0,1,3,0
84,5,0,0,2,4,1
97,3,0,0,2,3,1
105,3,1,82,2,2,1
12,4,0,0,1,3,0
19,5,1,0,1,1,0
46,2,1,0,1,2,0
3,2,0,57,2,2,1
12,3,0,0,1,3,0
105,6,0,82,2,4,1
72,4,1,78,2,3,1
43,2,0,0,1,1,0
177,4,1,63,2,3,1
40,1,1,0,1,1,0
3,2,1,71,2,3,1
155,3,1,0,1,3,0
1,3,0,89,1,4,1
210,1,0,0,1,2,0
77,2,1,49,1,1,1
7,1,1,67,2,3,1
48,3,0,17,1,3,1
12,5,1,0,0,3,1
25,3,0,0,1,3,0
106,4,1,0,0,23,0
6,3,1,106,2,3,1
0,4,1,106,2,3,1
18,1,1,0,1,1,0
199,4,0,0,0,11,1
219,2,1,125,2,5,1
68,1,1,106,2,3,1
18,2,0,125,2,5,1
44,4,0,0,1,5,0
216,1,0,0,1,3,0
202,2,1,166,3,1,1
8,2,0,0,1,1,0
123,1,0,106,2,3,1
44,5,0,0,1,1,0
202,3,1,166,3,3,1
12,1,0,41,1,1,1
212,3,1,82,1,3,1
0,2,0,82,1,1,1
12,3,0,0,1,3,0
0,1,0,0,2,3,0
0,4,0,82,2,5,1
15,3,0,0,1,3,0
12,2,1,0,1,1,0
3,3,0,133,2,2,1
44,3,0,0,1,2,0
18,2,0,0,1,2,0
213,3,0,0,1,2,0
80,4,1,11,1,3,1
44,1,1,0,1,1,0
12,1,0,0,1,1,0
168,5,1,0,0,3,1
8,3,0,58,2,3,1
38,3,0,0,1,3,0
40,2,0,0,1,3,0
53,2,1,82,2,3,1
121,5,1,0,0,3,1
9,4,0,0,1,3,0
44,5,0,0,1,1,0
164,3,0,0,1,2,0
1,2,0,150,2,3,1
40,1,1,0,1,1,0
18,2,1,52,1,2,1
4,2,0,41,1,1,1
18,3,1,0,1,3,0
4,3,1,105,1,5,1
155,2,1,0,2,3,0
2,2,1,0,0,1,1
84,1,0,99,2,3,1
155,5,0,0,1,5,0
208,3,1,41,1,3,1
43,4,0,0,1,3,0
201,2,1,0,0,5,1
10,5,0,49,1,1,1
155,5,1,0,1,1,0
15,1,0,30,1,3,1
200,3,0,15,1,3,1
201,4,0,0,1,3,1
44,1,1,0,1,1,0
26,1,0,0,1,3,0
84,4,1,82,2,4,1
218,4,0,0,0,3,0
201,5,1,0,0,5,1
12,1,1,82,2,2,1
0,4,1,150,2,3,1
206,2,1,0,0,23,0
201,1,0,141,4,2,1
185,6,0,106,2,3,1
183,2,1,130,1,1,1
202,3,1,0,2,2,1
4,2,0,43,1,2,1
155,3,1,0,1,3,0
12,1,1,0,1,2,0
164,1,1,0,1,3,0
31,2,1,0,1,2,0
164,1,1,0,1,1,0
77,5,0,0,1,2,0
0,2,0,67,1,1,1
123,3,0,141,2,2,1
18,1,1,0,1,1,0
68,3,0,193,2,3,1
27,4,1,42,1,2,1
12,3,1,0,1,5,0
40,1,0,0,1,3,0
164,4,0,0,1,2,0
0,1,0,67,1,0,1
53,4,1,11,1,3,1
12,4,0,0,1,1,0
164,1,0,0,1,1,0
164,2,0,0,1,2,0
12,1,0,82,1,1,1
44,2,1,0,1,2,0
157,3,0,0,1,0,0
44,3,0,0,1,2,0
4,4,0,99,1,2,1
202,4,0,141,3,3,1
0,4,1,82,1,4,1
46,1,1,0,1,3,0
169,4,0,167,2,6,1
151,5,1,168,2,5,1
8,5,0,0,2,3,0
18,1,1,120,1,3,1
118,1,0,141,2,2,1
31,2,0,0,1,2,0
12,3,0,0,1,3,0
164,2,1,0,1,1,0
155,4,1,0,1,1,0
0,3,0,113,1,2,1
216,4,1,0,1,1,1
164,2,0,58,1,1,1
201,4,1,166,3,3,1
49,2,1,106,2,1,1
192,3,0,0,1,2,1
220,1,1,114,2,3,1
40,5,0,0,1,3,0
155,3,1,57,1,2,1
36,5,1,41,1,1,1
4,3,1,166,2,4,1
0,5,0,5,2,1,1
44,5,0,0,1,1,0
36,2,1,57,1,2,1
36,5,1,0,1,2,0
44,5,1,0,1,1,0
2,5,0,106,2,1,1
202,3,1,183,3,3,1
123,3,0,184,2,2,1
25,6,0,0,1,1,0
25,1,1,0,1,1,0
44,4,1,0,1,2,0
44,3,1,0,1,1,0
4,2,1,58,1,1,1
26,2,0,0,1,1,0
36,3,0,0,1,1,0
25,1,1,0,1,1,0
35,2,1,0,1,1,0
44,3,0,0,1,1,0
155,3,1,0,1,2,0
22,5,1,0,1,3,0
155,2,1,0,1,2,0
216,3,0,207,3,5,1
46,2,1,0,1,2,0
40,3,0,0,1,2,0
22,3,1,57,1,2,1
44,6,1,0,1,2,0
0,1,1,0,2,2,0
44,5,1,0,1,2,0
18,1,1,0,1,4,0
25,1,0,0,1,1,0
0,1,1,82,2,5,1
1,1,0,166,2,3,1
44,2,1,0,1,6,0
0,2,0,149,2,5,1
202,4,0,37,2,7,1
202,3,1,165,3,2,1
62,3,0,165,2,2,1
185,1,1,141,3,2,1
54,3,0,0,2,2,1
202,2,0,141,3,1,1
9,3,1,0,2,2,1
25,1,1,0,1,1,0
36,5,1,0,1,2,0
22,4,0,0,1,2,0
44,4,1,0,1,1,0
19,2,0,0,1,2,0
26,2,1,0,1,2,0
0,2,0,106,2,1,1
202,3,1,151,3,2,1
202,2,1,141,3,2,1
44,2,0,0,1,1,0
202,1,1,184,4,2,1
29,3,0,0,1,1,0
26,1,0,0,1,3,0
44,6,1,0,1,1,0
37,2,1,0,1,1,0
164,1,0,0,1,1,0
48,4,0,0,1,3,0
18,1,1,0,1,1,0
110,3,1,106,2,3,1
36,2,1,0,1,1,0
26,3,0,0,1,2,0
24,4,0,0,1,1,0
12,2,0,0,1,1,0
4,1,0,82,1,2,1
46,3,1,0,1,2,0
26,4,1,0,1,2,0
46,3,1,114,1,3,1
56,4,0,171,2,4,1
