SPOT,AGE,SEX,Total accommodation fee,Total transportation cost,Number_of_people,Accommodation
180,4,1,0,0,3,1
118,5,1,49,2,2,1
163,4,0,0,1,5,1
89,4,1,166,2,3,1
18,1,0,17,1,3,1
202,1,0,129,3,1,1
12,2,0,0,1,2,0
19,1,1,0,1,4,0
18,2,1,0,1,3,0
40,3,0,0,1,3,0
104,4,0,67,2,4,1
164,2,1,0,1,2,0
12,3,1,0,1,2,0
156,5,1,0,1,1,1
12,4,0,0,1,2,1
202,2,1,99,2,1,1
68,5,0,37,2,5,1
202,5,1,0,0,0,1
107,2,0,0,1,2,1
4,4,0,133,1,2,1
68,3,0,162,2,3,1
32,1,0,0,1,1,0
2,2,0,0,1,3,0
121,4,1,21,2,3,1
0,2,0,114,1,3,1
164,1,0,97,2,5,1
68,0,0,15,2,3,1
14,4,0,118,1,3,1
0,4,1,112,1,3,1
216,3,0,146,1,2,1
164,5,0,21,1,3,1
18,1,0,17,1,3,1
12,6,0,0,1,4,0
8,1,1,0,1,3,0
0,1,0,118,2,3,1
4,4,1,99,2,4,1
224,2,0,0,2,2,1
172,3,1,0,2,3,1
12,1,1,0,1,4,0
19,3,0,0,1,2,0
155,2,1,0,1,2,0
26,5,1,0,1,1,1
123,4,0,144,2,3,1
4,2,0,78,1,1,1
35,4,0,0,0,7,0
202,1,1,94,2,1,1
201,2,0,221,3,1,1
12,1,1,0,0,1,0
12,2,1,0,1,2,0
141,2,0,0,1,2,0
4,4,0,67,1,1,1
177,5,0,0,1,1,1
164,4,0,0,1,3,1
201,2,0,82,2,2,1
121,3,0,0,2,3,1
18,5,0,0,1,1,0
36,4,1,0,0,3,0
121,2,1,0,0,1,1
12,3,1,0,1,3,1
0,4,0,37,1,1,1
35,4,0,0,1,3,0
6,5,0,0,0,28,0
48,3,1,0,0,7,0
164,4,0,0,1,3,0
4,2,1,106,1,1,1
61,4,1,0,1,1,0
123,2,1,114,2,1,1
163,4,0,0,0,28,1
15,4,0,41,1,3,1
4,1,0,0,0,2,0
119,1,1,15,1,1,1
35,4,1,0,1,9,0
4,4,0,82,1,3,1
0,1,0,0,1,3,0
198,3,0,0,1,3,0
164,4,1,0,1,3,0
12,2,1,0,1,3,0
216,4,0,0,1,3,0
144,3,1,0,1,3,0
32,1,1,0,1,1,0
18,4,0,0,1,5,0
8,3,0,0,0,3,0
89,3,1,58,1,3,1
201,4,1,0,0,2,1
35,4,0,0,1,1,0
1,4,0,0,0,14,1
38,4,1,0,1,2,0
145,3,1,0,1,3,0
38,2,0,0,1,3,0
216,1,1,0,0,3,1
46,5,1,0,0,3,0
155,4,1,0,1,3,0
12,4,0,0,1,3,0
147,1,1,0,1,1,0
171,5,0,0,1,3,0
0,6,0,0,1,3,0
202,2,0,0,0,3,1
192,4,1,0,0,5,1
0,1,0,37,1,1,1
16,5,0,0,1,1,0
26,5,0,0,1,1,0
202,5,1,120,2,1,1
26,5,0,0,2,6,0
36,5,1,0,1,1,0
48,3,0,0,1,1,0
190,3,1,0,1,2,0
20,2,0,0,1,2,0
10,1,0,0,2,3,0
0,5,0,0,2,2,0
29,5,0,0,1,3,0
22,1,1,0,1,3,0
29,2,0,0,1,3,0
36,3,1,0,1,2,0
207,4,1,0,1,1,1
15,5,0,0,1,2,0
3,2,0,25,2,3,1
36,4,1,0,1,3,0
0,3,1,0,2,2,0
31,3,1,0,1,2,0
207,4,1,0,1,5,0
123,1,1,0,2,3,0
8,4,0,0,2,2,0
219,5,0,0,2,2,0
31,5,1,0,1,1,0
0,5,1,0,1,3,0
106,4,0,0,1,1,0
212,4,1,0,1,1,0
36,2,0,0,1,2,0
14,3,1,0,2,3,0
162,4,0,0,2,2,0
6,5,0,0,2,1,0
224,5,1,0,2,9,0
44,2,0,0,1,1,0
3,5,0,0,1,1,0
216,4,0,0,1,1,0
48,4,1,0,1,2,0
43,1,0,0,1,2,0
4,3,0,0,2,3,0
19,4,1,0,2,1,0
18,2,1,0,1,4,0
15,3,0,0,1,3,0
144,4,1,0,1,4,0
25,6,0,0,1,4,0
155,3,1,0,1,3,0
18,1,0,0,1,4,0
164,1,0,0,1,3,0
0,3,1,0,1,3,0
0,4,0,0,1,3,0
26,2,1,0,1,3,0
12,2,0,0,1,3,0
216,4,1,0,1,3,0
0,1,0,0,1,3,0
155,2,0,0,1,1,0
201,1,1,0,0,1,1
18,5,1,0,1,4,0
36,4,1,0,1,4,0
217,4,0,0,1,3,0
26,3,0,0,1,3,0
0,1,0,0,1,3,0
46,2,0,0,1,4,0
36,3,1,0,1,3,0
18,5,1,0,1,4,0
32,4,1,0,1,3,0
155,5,0,0,1,4,0
46,5,1,0,1,9,0
36,4,0,0,1,4,0
44,4,1,0,1,3,0
171,2,0,0,1,7,0
155,1,0,0,1,4,0
18,1,1,0,1,5,0
147,3,0,0,1,3,0
18,1,1,0,1,1,0
224,3,0,0,1,3,0
44,1,0,0,1,3,0
8,4,0,0,1,4,0
18,4,1,0,1,3,0
228,3,1,0,1,4,0
201,3,1,21,1,4,1
36,1,0,0,1,4,0
219,4,0,0,1,3,0
18,4,1,0,1,3,0
0,2,0,0,1,3,0
220,5,1,0,1,0,0
19,3,0,0,1,3,0
155,5,1,0,1,3,0
18,3,0,0,1,3,0
171,4,0,0,1,4,0
18,1,1,0,1,3,0
36,1,1,0,1,4,0
18,1,0,0,1,3,0
0,4,1,0,1,4,0
46,4,0,0,1,9,0
26,5,1,0,1,1,0
164,6,0,0,1,0,0
18,3,1,0,1,4,0
201,2,0,106,3,3,1
0,2,1,0,1,3,0
33,4,1,0,1,3,0
0,1,0,0,1,3,0
171,2,1,0,1,3,0
18,2,0,0,1,3,0
155,3,1,0,1,3,0
25,4,1,0,1,3,0
36,4,0,0,1,3,0
12,5,0,0,1,4,0
36,1,1,0,1,3,0
35,4,0,0,1,3,0
227,5,0,0,1,4,0
0,3,0,0,1,3,0
0,5,1,0,1,3,0
28,3,0,0,1,3,0
194,5,1,0,1,1,0
46,3,1,124,1,3,1
53,4,0,71,1,3,1
180,5,1,0,1,1,0
0,4,0,82,1,3,1
7,5,1,0,1,1,0
11,5,0,99,1,5,1
157,5,0,0,1,7,0
155,5,1,0,1,6,0
4,2,1,99,1,3,1
171,2,0,99,1,3,1
221,3,1,82,1,3,1
15,3,0,78,1,3,1
124,4,1,82,1,0,1
46,4,0,0,2,5,0
22,1,0,0,1,1,0
202,5,0,174,2,1,1
7,4,0,106,2,3,1
190,3,1,0,1,0,0
198,4,1,70,2,2,1
36,3,0,70,1,2,1
15,5,0,0,1,1,0
226,4,1,82,1,3,1
19,3,1,0,1,3,0
49,3,0,99,2,3,1
36,4,0,118,1,3,1
172,3,0,102,1,3,1
68,2,1,166,1,3,1
4,2,0,110,1,2,1
171,4,1,113,2,2,1
201,4,0,114,3,1,1
12,3,0,0,1,3,0
47,2,0,0,1,3,0
2,4,0,124,1,3,1
65,1,1,99,1,3,1
210,3,1,89,1,3,1
4,1,0,89,1,1,1
175,3,0,82,1,3,1
199,4,0,0,2,4,0
209,2,1,106,2,3,1
198,2,0,0,2,2,0
187,5,0,94,2,1,1
177,4,0,67,2,2,1
15,3,1,0,1,2,0
155,5,1,0,1,1,0
215,3,0,37,1,3,1
123,1,0,124,2,1,1
4,3,0,148,1,3,1
46,4,0,0,1,6,0
68,2,1,166,1,1,1
15,2,0,94,1,3,1
155,2,0,89,1,3,1
32,5,0,0,1,3,0
68,2,1,95,1,2,1
53,4,0,0,0,1,1
202,3,1,118,2,3,1
164,4,0,0,1,3,0
45,3,0,82,1,3,1
6,1,1,67,1,1,1
228,3,0,158,1,3,1
43,4,1,0,1,3,0
192,4,0,0,1,3,0
164,5,0,0,1,0,0
9,4,1,99,1,3,1
0,3,0,127,2,3,1
12,5,1,0,1,2,0
228,2,1,0,2,4,1
9,4,0,0,1,1,1
4,5,0,0,1,1,0
15,3,1,25,1,2,1
171,5,0,89,2,4,1
33,2,0,0,1,3,0
12,4,1,0,1,4,0
19,3,0,0,1,5,0
201,3,1,150,2,3,1
10,2,0,82,2,1,1
0,2,1,106,1,3,1
172,5,0,0,2,1,1
223,2,1,63,2,3,1
32,2,0,155,1,2,1
0,3,0,0,1,1,0
0,3,1,0,1,3,0
12,4,1,0,1,1,0
0,4,0,0,1,0,0
43,3,1,0,1,3,0
4,4,0,0,1,2,0
204,4,1,99,1,3,1
164,3,0,0,1,3,0
15,3,0,183,2,23,1
124,0,0,0,1,3,0
6,5,0,82,1,1,1
227,2,0,0,1,1,1
0,3,0,67,1,2,1
207,2,0,58,1,1,1
15,3,0,0,1,1,1
177,3,0,58,2,0,1
216,5,0,166,2,7,1
1,2,1,107,1,2,1
4,4,0,0,1,1,0
4,3,0,193,1,3,1
172,1,0,0,1,2,1
15,4,0,0,1,3,0
162,3,0,141,2,0,1
0,4,1,0,1,2,0
3,1,0,0,1,3,0
14,3,1,0,1,2,0
0,2,0,0,2,8,0
8,3,0,0,1,3,0
0,1,0,0,1,3,0
15,4,0,0,1,4,0
32,5,0,82,1,4,1
2,4,0,199,3,18,1
4,1,1,141,2,2,1
1,5,0,0,1,1,0
0,2,0,106,1,1,1
47,1,0,0,1,2,0
26,1,1,0,1,1,0
4,3,0,124,1,4,1
171,1,0,2,1,1,1
117,1,1,15,1,2,1
3,3,1,0,1,1,1
176,5,1,232,5,34,1
42,4,1,0,1,1,0
4,1,1,0,1,1,0
0,6,0,0,1,1,0
167,1,0,82,2,2,1
0,3,1,0,1,1,0
36,2,0,25,1,1,1
15,2,1,0,1,1,0
11,4,1,58,1,1,1
198,2,0,141,1,2,1
87,5,1,0,1,4,0
33,4,0,0,1,0,0
19,3,1,0,1,4,0
4,4,1,0,1,4,0
208,5,0,221,3,9,1
2,5,0,106,1,0,1
4,3,1,0,1,0,1
202,4,1,0,0,2,1
127,4,0,0,1,1,0
49,4,1,183,3,1,1
135,6,0,0,1,2,0
141,1,1,0,1,1,0
136,0,0,0,1,1,0
0,2,0,30,1,2,1
209,1,1,172,1,2,1
68,5,1,107,2,2,1
202,1,0,151,3,2,1
80,3,1,141,2,3,1
111,5,0,141,2,4,1
4,6,0,0,1,6,0
3,4,1,0,3,28,0
177,3,1,58,1,1,1
89,2,0,106,1,0,1
201,4,1,221,3,3,1
0,1,0,141,1,1,1
124,1,1,0,1,0,0
0,4,0,0,1,1,0
47,2,1,0,1,2,0
4,3,0,0,1,3,1
146,2,0,0,1,1,0
5,5,0,0,1,1,0
61,1,1,0,1,1,1
3,3,0,134,1,3,1
0,1,1,0,1,1,0
224,4,0,0,1,0,0
7,1,1,0,1,1,0
214,1,0,0,1,1,0
0,2,0,0,1,1,0
0,4,0,0,2,14,0
0,5,0,0,1,1,0
136,0,1,0,1,0,0
157,1,1,0,1,1,0
207,2,0,0,1,2,0
18,1,1,67,1,3,1
0,5,1,0,1,1,0
80,5,0,0,1,3,0
228,2,0,0,1,1,0
15,3,0,5,1,14,1
0,1,1,0,2,1,1
0,3,1,0,1,1,0
2,3,1,37,1,3,1
224,1,1,0,1,2,0
4,4,1,67,1,1,1
164,2,1,0,1,4,1
228,4,0,0,1,3,0
13,3,0,0,1,3,0
30,2,1,0,1,0,0
19,5,0,0,1,1,0
0,5,1,0,1,1,0
14,5,1,57,1,2,1
162,2,1,0,0,3,1
0,3,1,82,1,3,1
0,3,0,37,1,4,1
0,1,0,82,1,1,1
0,1,1,124,1,4,1
4,5,0,0,1,3,0
14,4,0,0,1,3,0
0,1,1,0,1,1,0
37,5,1,0,1,0,0
0,4,1,126,2,12,1
17,5,1,0,1,1,0
0,1,0,58,1,1,1
37,3,0,58,1,1,1
1,4,0,0,1,3,1
123,1,1,30,1,1,1
177,3,1,82,1,1,1
14,3,1,213,1,7,1
224,2,1,0,1,1,0
224,4,1,0,2,3,0
0,5,1,0,1,2,0
0,1,1,0,1,2,0
219,2,0,0,1,2,0
219,3,1,0,1,1,0
125,1,0,0,1,1,0
0,2,0,0,1,7,0
59,2,0,0,1,0,0
12,2,0,0,1,0,0
0,3,1,0,1,1,0
12,5,1,0,1,1,0
133,2,1,0,1,0,1
15,3,0,0,1,1,0
147,2,0,0,1,0,0
4,3,0,141,2,3,1
0,2,1,0,1,1,0
6,2,0,58,1,1,1
4,4,1,57,1,2,1
172,3,1,189,2,9,1
130,2,0,0,1,1,0
0,4,0,0,1,1,0
30,3,1,0,1,0,0
44,3,0,41,1,1,1
26,2,1,0,1,1,0
144,1,0,0,1,1,0
7,4,0,0,1,2,0
29,4,1,0,1,3,0
30,1,0,0,1,0,1
7,1,1,0,1,1,0
128,3,1,0,1,0,0
4,5,0,0,1,5,0
14,6,0,0,1,1,0
201,4,0,141,3,4,1
48,5,0,58,1,0,1
4,1,1,0,1,2,0
30,4,1,0,1,3,0
146,2,1,0,1,1,0
0,2,0,58,1,1,1
31,1,0,0,1,2,0
0,4,0,0,1,3,0
219,3,0,0,1,4,0
12,3,0,0,1,1,0
2,1,1,58,1,3,1
0,1,0,82,1,1,1
201,4,0,141,3,3,1
123,2,0,49,2,1,1
15,5,0,0,1,2,0
68,5,1,0,1,1,0
13,4,0,106,1,1,1
65,4,0,0,1,3,1
189,5,0,99,2,1,1
4,5,1,0,1,1,0
15,5,0,0,1,1,0
146,6,1,0,0,28,0
79,6,0,41,1,1,1
206,3,1,71,2,1,1
19,1,0,0,2,2,0
12,5,0,0,1,1,0
4,6,1,0,1,3,0
142,6,0,0,1,0,1
37,4,1,0,1,0,0
219,5,0,0,2,1,1
23,4,0,0,1,1,1
128,2,0,0,1,0,1
123,3,1,228,2,5,1
4,2,0,0,1,0,0
127,5,0,0,1,0,1
53,1,0,118,2,1,1
198,4,1,0,2,1,0
2,4,0,0,1,1,0
6,5,0,0,1,0,0
124,6,0,0,1,1,1
10,5,0,0,1,1,0
40,5,0,140,2,6,1
144,3,0,0,2,0,0
202,2,1,165,2,2,1
2,4,1,0,1,2,0
44,4,0,0,2,2,1
39,2,0,89,2,1,1
13,4,0,82,1,1,1
2,3,1,0,1,2,0
12,5,1,0,1,0,0
32,5,0,0,2,4,0
2,2,1,0,1,3,1
8,3,0,0,1,3,0
48,4,0,0,1,1,1
201,3,0,212,4,5,1
10,2,0,26,1,2,1
202,3,1,141,3,4,1
84,2,0,0,1,1,0
12,3,0,0,1,0,0
4,4,0,0,1,0,0
3,4,1,106,1,1,1
12,2,0,41,1,3,1
36,6,1,0,2,3,0
80,4,1,0,1,1,0
1,4,1,0,1,1,0
128,3,1,0,2,1,1
17,5,0,0,1,0,0
141,3,0,0,1,1,0
44,4,0,0,1,0,1
92,2,0,0,2,2,1
25,5,0,0,1,1,0
13,4,0,0,1,0,0
124,3,1,0,2,1,0
124,3,1,0,1,3,0
206,4,0,64,2,2,1
202,1,0,166,3,3,1
201,4,1,230,5,10,1
10,4,1,0,1,1,0
195,4,1,0,2,1,1
3,5,0,0,1,1,0
20,3,1,166,2,4,1
3,5,0,0,1,1,0
10,4,1,0,1,4,1
175,3,1,0,2,1,1
130,2,0,0,2,2,1
124,3,1,0,1,0,0
202,2,0,41,2,0,1
227,4,0,58,1,3,1
8,4,1,58,1,1,1
202,4,0,168,3,2,1
40,3,1,57,1,2,1
124,2,0,0,1,0,0
4,3,1,0,1,1,0
3,5,1,0,1,1,1
68,5,1,0,3,28,0
0,3,0,0,1,2,0
0,6,1,0,1,1,0
13,4,1,0,1,1,1
13,4,0,0,1,0,0
37,2,0,57,2,2,1
0,2,1,0,1,2,0
89,2,1,166,1,18,1
49,4,0,57,2,2,1
0,3,0,0,1,0,0
155,5,0,0,2,1,1
3,2,1,0,1,3,0
202,3,1,0,0,39,1
201,6,1,0,0,2,1
82,5,1,0,2,3,1
128,4,0,30,2,1,1
18,3,0,0,2,1,1
44,5,0,0,2,1,1
3,3,0,0,1,2,0
45,1,1,0,2,0,1
214,4,1,0,1,2,0
202,3,0,114,2,1,1
198,4,0,106,2,3,1
0,4,1,0,1,1,0
7,2,1,5,1,3,1
72,4,0,0,2,5,0
8,3,1,0,1,3,0
14,3,0,0,1,3,0
0,4,1,11,1,1,1
136,3,1,0,2,1,1
123,1,1,41,1,1,1
123,1,0,25,2,1,1
3,5,0,0,1,1,0
3,5,0,0,1,1,0
0,2,0,0,1,1,1
7,2,1,0,1,3,1
127,3,0,106,2,3,1
0,6,1,0,1,2,0
0,2,0,0,1,1,0
13,5,0,0,1,4,0
0,1,1,141,1,1,1
4,4,0,0,1,4,0
101,3,1,0,2,1,1
89,5,1,0,1,1,0
10,3,0,199,1,3,1
214,4,0,0,1,0,1
138,2,1,0,1,0,1
103,1,1,25,1,0,1
0,2,1,0,1,3,0
10,5,0,0,1,1,1
124,5,1,0,1,0,1
0,5,1,0,1,3,0
108,2,1,82,1,1,1
149,4,0,0,2,1,1
40,2,1,0,1,2,1
3,4,0,105,1,5,1
2,3,1,82,1,3,1
19,2,0,0,2,1,0
219,4,1,58,1,3,1
3,3,1,0,1,3,0
2,1,1,0,1,3,0
4,5,0,105,1,5,1
2,3,0,0,1,3,0
3,4,1,0,1,5,0
96,6,1,0,2,3,1
4,2,0,58,1,1,1
3,2,0,0,1,2,0
3,6,1,0,1,1,0
29,5,1,0,2,1,1
219,4,1,0,1,3,0
5,5,0,0,1,1,0
1,6,1,0,2,29,0
4,2,1,67,1,1,1
201,3,1,67,4,4,1
143,2,1,30,1,0,1
141,3,0,58,1,3,1
0,5,0,0,1,3,0
2,2,1,0,1,1,0
207,6,1,0,2,1,1
3,6,0,0,1,1,0
3,4,0,0,1,2,0
3,3,1,0,1,3,0
138,4,1,0,1,2,1
3,5,0,0,1,1,0
3,6,0,57,1,2,1
2,1,0,25,1,1,1
228,4,0,0,1,3,0
224,3,0,0,1,3,0
73,4,1,30,1,1,1
226,3,1,0,1,3,0
2,5,1,0,1,5,0
4,2,0,0,1,2,0
201,5,0,107,3,2,1
2,3,0,0,1,4,0
3,6,0,0,1,1,0
164,4,0,67,2,2,1
89,5,0,106,1,4,1
3,6,0,0,1,3,0
0,4,0,0,1,0,0
0,3,0,0,1,3,0
198,4,0,213,2,3,1
12,1,0,0,1,0,1
3,1,1,0,1,3,0
0,6,1,0,1,4,1
201,3,0,58,2,3,1
224,4,0,0,1,1,0
0,6,0,0,3,18,0
4,3,1,58,1,1,1
0,4,0,25,1,0,1
12,4,1,0,1,1,1
19,5,0,0,2,1,1
128,2,0,0,2,3,1
2,3,1,0,1,1,0
32,5,1,0,2,2,1
146,4,1,0,0,1,0
3,5,1,0,1,1,0
201,5,0,166,3,3,1
214,5,0,37,2,1,1
228,4,1,0,1,1,0
3,4,0,0,1,3,0
2,5,1,0,1,1,0
3,1,0,0,1,1,0
3,3,1,0,1,3,0
146,1,0,0,2,0,1
0,4,1,0,1,1,0
3,4,1,0,1,1,0
0,3,0,58,2,1,1
3,4,0,0,1,1,0
3,6,0,0,1,3,0
162,2,0,166,2,1,1
123,4,0,233,3,7,1
0,2,1,141,2,3,1
74,6,1,163,3,41,1
3,6,0,0,1,1,0
80,4,1,0,1,1,0
8,4,0,0,1,2,1
124,3,0,58,2,0,1
0,2,0,0,1,0,1
3,5,1,0,1,0,1
77,4,0,0,1,0,0
2,3,0,0,1,1,0
84,5,0,140,2,6,1
41,6,0,0,2,1,1
0,3,1,0,1,2,0
2,5,1,0,1,1,0
3,3,0,0,1,1,0
3,5,0,0,1,2,0
0,4,0,0,0,1,0
2,4,1,0,1,3,1
155,1,0,71,2,3,1
227,6,0,0,1,3,0
3,2,0,0,1,2,0
0,4,0,0,1,2,1
12,2,1,30,2,1,1
49,6,0,225,3,8,1
124,1,0,0,2,1,0
9,5,0,167,1,6,1
124,3,1,0,1,0,0
0,0,0,0,1,1,0
141,1,1,0,1,2,0
202,4,0,106,2,1,1
7,1,0,30,1,1,1
2,4,1,0,1,2,1
129,4,0,0,1,3,1
134,5,0,0,2,1,1
7,3,0,30,1,1,1
89,4,0,0,1,0,1
123,6,1,0,1,33,0
2,2,1,94,1,1,1
23,5,0,0,1,1,0
1,4,0,41,1,1,1
122,4,0,106,2,1,1
40,1,0,144,2,1,1
202,2,1,141,2,0,1
146,3,0,0,2,1,1
118,1,1,63,2,1,1
6,4,0,5,1,3,1
12,5,0,0,1,1,1
201,1,0,166,2,3,1
141,3,0,0,2,2,0
10,3,1,0,1,1,0
137,1,1,0,2,1,0
227,3,0,0,1,1,1
9,2,1,0,1,2,0
0,6,1,0,1,1,0
202,3,1,184,3,2,1
28,5,1,0,1,0,1
124,1,0,67,1,1,1
164,3,1,113,2,2,1
12,6,0,0,1,1,1
6,5,0,0,1,1,0
1,4,0,0,1,2,0
0,4,1,0,1,18,0
15,5,0,0,1,1,1
143,4,0,0,1,0,1
124,2,0,30,1,1,1
6,5,1,0,1,1,0
34,1,0,0,2,0,1
2,2,1,0,1,1,1
12,1,1,0,1,2,0
228,3,0,0,1,1,0
219,2,1,82,2,1,1
0,1,0,0,1,1,0
2,5,0,0,1,1,0
2,5,1,0,1,0,0
82,3,1,0,1,1,0
0,4,0,25,1,1,1
2,3,1,0,1,2,0
13,3,0,0,1,1,0
2,5,0,0,1,1,0
2,4,1,0,1,1,0
13,5,1,0,1,1,0
13,5,0,0,1,1,0
2,3,0,0,1,2,0
7,2,1,0,1,0,0
74,4,0,185,2,6,1
177,5,1,0,0,20,1
219,4,0,30,1,6,1
13,5,0,0,1,4,0
164,4,0,0,2,0,1
2,5,0,0,1,1,0
124,2,1,0,1,0,0
0,3,0,0,1,2,0
0,4,1,0,1,2,0
0,2,0,0,1,3,0
0,3,1,0,1,1,0
37,4,0,0,1,4,0
10,6,1,0,1,2,0
84,5,1,0,1,4,0
0,1,0,0,1,1,1
0,5,0,0,1,1,0
0,2,1,0,1,3,0
0,4,0,0,1,2,1
11,3,1,25,1,0,1
39,6,1,0,2,1,1
14,1,0,0,1,0,1
68,2,1,25,1,1,1
4,2,0,82,1,3,1
219,4,1,82,2,9,1
30,5,1,0,1,0,1
188,4,0,25,1,1,1
0,3,1,0,1,3,0
2,3,0,0,1,2,0
177,5,0,141,2,5,1
101,5,0,0,2,1,1
2,2,0,0,1,1,0
0,3,1,0,1,2,0
6,2,1,0,1,1,0
2,4,0,0,1,9,0
0,3,1,0,1,3,0
0,3,1,0,1,1,0
30,5,0,0,1,0,1
45,4,0,36,1,2,1
2,4,1,0,1,2,0
201,3,0,0,3,3,1
0,4,0,0,1,3,0
12,5,0,0,1,0,0
0,4,1,0,1,2,0
0,5,1,0,1,0,0
123,1,1,26,2,2,1
146,3,0,0,1,0,0
136,2,1,25,2,2,1
123,2,0,0,1,1,1
0,2,1,0,1,3,0
164,5,1,166,2,3,1
46,1,0,25,2,1,1
124,1,1,58,2,1,1
0,5,0,0,1,2,0
2,3,0,0,1,1,0
18,2,1,42,2,2,1
123,3,1,124,2,3,1
152,2,0,0,2,9,1
143,6,0,0,2,1,1
121,2,1,106,2,3,1
0,3,0,0,1,1,0
39,5,1,0,2,0,1
97,6,1,0,2,23,0
4,4,0,82,1,1,1
0,3,0,0,1,1,0
2,5,1,0,1,3,0
14,4,1,58,1,4,1
0,3,1,0,1,2,0
0,5,0,0,1,1,0
201,5,0,183,4,9,1
201,3,1,199,3,2,1
2,6,0,0,1,7,0
0,3,0,0,1,0,0
2,1,0,0,1,1,0
223,4,0,141,1,1,1
0,3,0,12,1,2,1
15,4,0,0,2,2,1
49,5,1,168,2,5,1
80,6,1,0,1,6,0
13,3,1,0,1,1,0
14,2,0,82,1,3,1
146,6,0,0,4,42,0
89,4,0,198,2,6,1
8,3,0,41,1,1,1
15,5,0,0,1,1,1
146,3,1,0,2,1,1
2,5,1,0,1,3,0
4,1,1,67,1,4,1
2,4,0,0,1,1,0
0,3,0,0,1,1,0
77,2,1,106,2,1,1
123,3,1,82,2,1,1
139,1,1,25,2,1,1
162,4,1,95,2,2,1
6,1,1,183,2,4,1
24,4,1,0,2,1,1
2,5,0,0,1,1,0
13,2,0,0,1,2,0
2,5,1,0,1,0,1
2,5,0,0,1,3,0
177,3,0,0,2,3,1
68,3,1,166,2,3,1
28,2,0,0,1,0,1
2,4,1,0,1,2,0
2,5,1,0,1,2,0
141,3,1,25,1,1,1
123,1,0,11,1,0,1
2,1,0,0,1,3,0
13,4,0,0,1,3,0
127,5,0,0,1,0,1
146,2,1,141,2,2,1
216,2,0,141,1,2,1
4,1,0,0,1,1,0
8,3,1,0,1,1,0
12,2,0,0,1,2,0
202,3,1,106,3,1,1
4,3,0,0,2,18,0
8,4,1,0,1,0,1
4,2,0,0,1,5,0
12,4,1,0,1,0,0
4,4,1,0,1,2,0
4,5,0,0,1,2,0
3,5,1,0,1,1,1
19,6,1,0,1,2,0
18,5,0,0,1,0,0
57,5,1,0,1,0,1
4,4,0,0,1,3,0
10,5,0,82,1,1,1
141,5,0,0,1,1,0
4,3,1,0,1,2,0
12,1,0,0,1,1,0
12,3,0,0,1,3,0
146,5,1,0,2,1,0
224,5,0,0,1,1,1
42,4,0,0,1,0,0
4,6,1,0,1,9,0
0,2,1,214,2,2,1
18,5,0,0,1,2,0
17,5,0,0,1,3,0
9,3,0,5,1,1,1
36,4,0,166,2,7,1
15,1,0,0,1,1,0
8,3,1,0,1,1,0
37,3,1,0,1,1,0
106,5,0,0,1,1,0
155,4,1,0,1,4,1
0,4,0,0,1,11,0
0,5,0,0,1,1,0
48,5,1,0,1,1,1
14,5,0,0,1,2,0
4,4,0,0,1,0,0
3,1,0,107,1,2,1
8,5,0,0,1,1,0
8,4,1,0,1,0,0
105,3,1,0,2,1,1
123,3,0,141,2,4,1
8,3,0,0,1,1,0
11,5,0,0,2,9,0
8,3,1,0,1,5,0
224,3,0,0,1,2,0
124,2,0,0,1,1,0
8,1,0,0,1,1,0
1,3,0,0,1,35,0
216,1,1,0,1,3,0
4,2,1,0,1,1,0
2,2,0,0,2,5,0
4,5,0,0,2,6,0
0,2,0,67,1,2,1
0,1,1,0,1,0,0
162,5,0,0,1,1,0
10,2,0,0,1,3,0
224,4,0,0,1,3,0
8,1,1,0,1,1,0
141,4,1,0,3,9,0
8,4,0,0,1,0,0
224,2,1,0,1,3,0
201,5,0,0,1,2,1
0,5,1,0,1,1,1
59,4,0,0,1,0,0
224,5,1,0,1,1,0
224,4,0,0,1,0,0
214,3,1,0,1,3,1
12,4,0,41,1,1,1
214,4,0,0,1,1,1
28,5,0,0,1,1,0
164,6,0,0,1,2,0
9,4,1,0,3,28,0
0,6,1,0,1,2,0
44,1,0,107,1,2,1
224,6,1,0,1,1,0
26,3,0,0,1,1,0
224,5,1,0,1,2,0
14,2,1,0,1,0,0
227,1,1,0,1,4,1
164,5,0,0,2,2,0
8,5,0,0,1,0,1
30,4,0,0,1,1,0
2,6,1,0,1,1,0
80,5,1,0,1,3,0
164,4,0,0,1,3,1
26,2,1,0,1,3,1
142,6,0,0,1,0,1
68,4,1,154,2,2,1
2,6,1,0,3,25,0
89,1,0,0,1,0,1
157,6,0,0,1,1,1
202,4,0,166,3,3,1
8,1,1,0,1,2,0
39,5,1,0,1,1,1
8,5,0,0,1,1,0
8,1,0,0,1,1,0
8,2,0,25,1,0,1
8,5,0,0,1,1,0
8,4,0,0,1,1,0
31,5,0,0,1,1,0
17,5,1,0,2,5,0
0,5,0,0,1,5,0
78,3,1,0,2,5,1
10,3,0,0,1,0,1
29,3,1,0,2,0,0
8,5,0,0,1,0,1
146,6,0,0,1,5,0
124,1,0,0,1,1,0
0,6,1,0,1,0,0
6,5,0,67,1,1,1
0,3,0,0,1,3,0
0,4,0,0,1,1,0
10,6,1,0,1,4,0
8,5,0,0,1,0,1
1,1,0,114,1,3,1
125,4,1,0,1,0,1
0,4,1,0,1,0,0
177,5,0,141,2,2,1
3,3,0,0,1,3,1
0,4,0,0,1,1,0
9,3,1,0,1,4,0
