성별,나이,거주지,여행유형,월별,동반자,여행지(시/도),여행지(시/군/구),숙박여부,여행비용
  여자,  20대,  인천,단순관광,  9월,친구/연인,강원도,홍천군,1,30만원 이상
  여자,  30대,  인천,단순가족/친지/친구방문,  10월,없음,충청북도,청주시,0,20만원 이상 30만원 미만
  남자,  30대,  인천,단순관광,  10월,친구/연인,경기도,고양시,0,30만원 이상
  남자,  40대,  인천,단순관광,  10월,가족,경기도,용인시,0,30만원 이상
  남자,  50대,  인천,단순가족/친지/친구방문,  10월,없음,부산광역시,해운대구,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  10월,친구/연인,서울특별시,영등포구,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  7월,친구/연인,서울특별시,영등포구,0,10만원 미만
  남자,  50대,  인천,가족/친지/친구방문(관광포함),  7월,가족,경기도,성남시,0,10만원 미만
  여자,  50대,  인천,가족/친지/친구방문(관광포함),  7월,가족,강원도,속초시,1,30만원 이상
  여자,  20대,  인천,단순관광,  7월,친구/연인,충청남도,보령시,1,30만원 이상
  여자,  30대,  인천,단순가족/친지/친구방문,  7월,없음,광주광역시,남구,0,20만원 이상 30만원 미만
  남자,  20대,  인천,단순관광,  8월,친구/연인,경기도,화성시,1,30만원 이상
  여자,  30대,  인천,가족/친지/친구방문(관광포함),  8월,가족,전라북도,전주시,1,30만원 이상
  여자,  60대,  인천,단순가족/친지/친구방문,  8월,없음,경기도,성남시,0,10만원 미만
  여자,  60대,  인천,단순가족/친지/친구방문,  9월,없음,경기도,고양시,0,10만원 미만
  여자,  20대,  인천,가족/친지/친구방문(관광포함),  9월,친구/연인,경기도,부천시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  11월,친구/연인,경기도,용인시,0,10만원 이상 20만원 미만
  남자,  20대,  인천,단순관광,  11월,친구/연인,경기도,파주시,0,10만원 미만
  여자,  40대,  인천,단순관광,  11월,가족,강원도,양양군,1,30만원 이상
  남자,  20대,  인천,단순관광,  10월,친구/연인,강원도,고성군,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  10월,없음,강원도,춘천시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  10월,친구/연인,경기도,고양시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  10월,없음,강원도,춘천시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,가족/친지/친구방문(관광포함),  12월,친구/연인,강원도,평창군,0,10만원 이상 20만원 미만
  남자,  20대,  인천,단순가족/친지/친구방문,  12월,없음,서울특별시,강남구,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  12월,가족,충청북도,단양군,0,20만원 이상 30만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  1월,없음,서울특별시,동대문구,0,10만원 미만
  여자,  30대,  인천,단순가족/친지/친구방문,  1월,없음,서울특별시,도봉구,1,10만원 이상 20만원 미만
  남자,  50대,  인천,단순가족/친지/친구방문,  1월,없음,전라북도,정읍시,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  1월,없음,경기도,김포시,1,10만원 이상 20만원 미만
  여자,  40대,  인천,가족/친지/친구방문(관광포함),  11월,친구/연인,경기도,성남시,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  11월,가족,경기도,포천시,0,10만원 미만
  여자,  50대,  인천,가족/친지/친구방문(관광포함),  11월,친구/연인,경기도,고양시,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  11월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  11월,가족,경기도,과천시,0,10만원 이상 20만원 미만
  여자,  60대,  인천,가족/친지/친구방문(관광포함),  11월,친구/연인,경기도,포천시,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  12월,가족,강원도,강릉시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  12월,친구/연인,경기도,안산시,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  12월,가족,경기도,안성시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  12월,가족,경기도,가평군,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  12월,친구/연인,충청남도,청양군,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순가족/친지/친구방문,  2월,없음,전라북도,군산시,1,30만원 이상
  남자,  60대,  인천,단순관광,  2월,가족,강원도,양양군,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  2월,없음,경기도,가평군,1,30만원 이상
  남자,  40대,  인천,단순관광,  1월,가족,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  1월,가족,충청남도,태안군,1,30만원 이상
  여자,  50대,  인천,단순관광,  1월,가족,경기도,화성시,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  1월,가족,경기도,양평군,0,10만원 미만
  남자,  20대,  인천,단순관광,  1월,친구/연인,강원도,홍천군,1,30만원 이상
  남자,  30대,  인천,단순관광,  1월,친구/연인,경상북도,경주시,1,30만원 이상
  남자,  30대,  인천,단순관광,  2월,친구/연인,경기도,양평군,0,10만원 이상 20만원 미만
  남자,  70세이상,  인천,단순관광,  2월,가족,강원도,양양군,0,10만원 이상 20만원 미만
  남자,  50대,  인천,가족/친지/친구방문(관광포함),  2월,가족,경기도,가평군,1,20만원 이상 30만원 미만
  여자,  40대,  인천,단순관광,  3월,가족,충청남도,태안군,1,30만원 이상
  남자,  40대,  인천,단순관광,  3월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  4월,친구/연인,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  3월,가족,충청남도,태안군,1,30만원 이상
  여자,  50대,  인천,단순관광,  3월,친구/연인,강원도,홍천군,0,20만원 이상 30만원 미만
  여자,  50대,  인천,단순관광,  5월,친구/연인,경기도,양평군,0,20만원 이상 30만원 미만
  여자,  20대,  인천,단순관광,  4월,친구/연인,경기도,성남시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  4월,가족,강원도,강릉시,0,30만원 이상
  여자,  60대,  인천,단순관광,  4월,가족,강원도,영월군,0,30만원 이상
  여자,  50대,  인천,가족/친지/친구방문(관광포함),  4월,친구/연인,강원도,원주시,1,30만원 이상
  남자,  20대,  인천,단순관광,  4월,가족,경기도,군포시,0,20만원 이상 30만원 미만
  남자,  20대,  인천,단순관광,  5월,친구/연인,경기도,과천시,0,10만원 미만
  여자,  40대,  인천,단순관광,  5월,가족,전라북도,전주시,1,30만원 이상
  남자,  50대,  인천,단순관광,  6월,가족,경기도,양평군,0,10만원 미만
  남자,  30대,  인천,단순관광,  6월,친구/연인,충청남도,부여군,0,20만원 이상 30만원 미만
  남자,  40대,  인천,단순관광,  7월,가족,경기도,광명시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,출장/업무(관광포함),  7월,없음,서울특별시,강남구,0,10만원 미만
  여자,  20대,  인천,단순관광,  7월,친구/연인,충청남도,태안군,1,30만원 이상
  남자,  20대,  인천,단순관광,  7월,친구/연인,경기도,용인시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  7월,가족,경기도,여주시,0,10만원 미만
  여자,  40대,  인천,단순관광,  7월,가족,경기도,고양시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  7월,친구/연인,서울특별시,관악구,0,10만원 미만
  여자,  40대,  인천,단순관광,  8월,가족,경기도,가평군,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  8월,친구/연인,경기도,과천시,0,10만원 미만
  남자,  60대,  인천,단순관광,  8월,가족,경기도,화성시,0,10만원 미만
  여자,  30대,  인천,단순관광,  8월,친구/연인,전라북도,전주시,0,20만원 이상 30만원 미만
  여자,  20대,  인천,단순관광,  8월,친구/연인,경기도,고양시,0,10만원 미만
  남자,  20대,  인천,단순관광,  8월,친구/연인,경기도,용인시,0,20만원 이상 30만원 미만
  남자,  50대,  인천,단순관광,  8월,친구/연인,부산광역시,해운대구,1,30만원 이상
  여자,  70세이상,  인천,단순관광,  8월,친구/연인,서울특별시,종로구,0,10만원 미만
  여자,  20대,  인천,단순관광,  8월,친구/연인,경기도,양평군,0,10만원 미만
  남자,  20대,  인천,단순관광,  8월,친구/연인,경기도,가평군,0,10만원 미만
  남자,  30대,  인천,단순관광,  8월,가족,경기도,가평군,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  8월,가족,경기도,김포시,0,10만원 미만
  남자,  40대,  인천,단순관광,  9월,가족,강원도,평창군,1,30만원 이상
  여자,  40대,  인천,단순관광,  9월,가족,경기도,화성시,0,20만원 이상 30만원 미만
  남자,  50대,  인천,단순관광,  9월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  9월,가족,강원도,춘천시,0,10만원 이상 20만원 미만
  남자,  20대,  인천,가족/친지/친구방문(관광포함),  9월,없음,서울특별시,은평구,0,10만원 미만
  남자,  50대,  인천,단순관광,  9월,가족,경기도,파주시,0,10만원 미만
  여자,  70세이상,  인천,단순관광,  9월,가족,강원도,양양군,1,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  9월,가족,경기도,양평군,1,10만원 이상 20만원 미만
  남자,  60대,  인천,단순관광,  10월,가족,경기도,가평군,0,10만원 미만
  여자,  30대,  인천,단순관광,  10월,가족,강원도,속초시,1,30만원 이상
  남자,  30대,  인천,단순관광,  11월,가족,서울특별시,관악구,0,10만원 미만
  남자,  40대,  인천,단순관광,  11월,가족,강원도,속초시,1,30만원 이상
  남자,  50대,  인천,단순관광,  11월,친구/연인,전라북도,군산시,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  10월,친구/연인,경기도,시흥시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  10월,친구/연인,충청북도,제천시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  10월,친구/연인,강원도,강릉시,0,10만원 이상 20만원 미만
  여자,  70세이상,  인천,단순관광,  10월,친구/연인,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  20대,  인천,단순관광,  10월,친구/연인,경기도,김포시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  10월,친구/연인,경기도,김포시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  11월,가족,경기도,화성시,0,10만원 미만
  여자,  30대,  인천,단순관광,  12월,가족,경기도,연천군,1,30만원 이상
  남자,  50대,  인천,단순가족/친지/친구방문,  12월,없음,경기도,고양시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  12월,없음,충청북도,진천군,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  1월,친구/연인,충청남도,논산시,0,10만원 이상 20만원 미만
  남자,  60대,  인천,단순가족/친지/친구방문,  1월,없음,경기도,안산시,1,10만원 이상 20만원 미만
  여자,  20대,  인천,단순가족/친지/친구방문,  1월,없음,충청북도,충주시,1,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  1월,친구/연인,전라북도,전주시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  1월,없음,강원도,춘천시,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  1월,없음,대전광역시,대덕구,0,10만원 미만
  여자,  50대,  인천,단순관광,  1월,친구/연인,경기도,파주시,0,10만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  2월,친구/연인,대전광역시,서구,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  2월,가족,경기도,광명시,0,10만원 이상 20만원 미만
  여자,  70세이상,  인천,가족/친지/친구방문(관광포함),  2월,가족,경기도,포천시,0,10만원 미만
  남자,  70세이상,  인천,단순가족/친지/친구방문,  2월,없음,경기도,고양시,0,10만원 미만
  남자,  30대,  인천,단순출장/업무,  2월,없음,강원도,강릉시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  2월,친구/연인,강원도,철원군,1,10만원 이상 20만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  2월,없음,강원도,원주시,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순가족/친지/친구방문,  2월,없음,경기도,안성시,1,20만원 이상 30만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  3월,없음,강원도,원주시,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  3월,친구/연인,전라북도,전주시,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  3월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  3월,친구/연인,충청남도,당진시,0,10만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  3월,없음,강원도,춘천시,0,10만원 이상 20만원 미만
  남자,  70세이상,  인천,가족/친지/친구방문(관광포함),  3월,가족,경기도,여주시,0,10만원 미만
  남자,  30대,  인천,단순관광,  4월,친구/연인,서울특별시,관악구,0,10만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  4월,없음,부산광역시,부산진구,1,20만원 이상 30만원 미만
  남자,  50대,  인천,단순관광,  4월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  60대,  인천,가족/친지/친구방문(관광포함),  4월,가족,강원도,평창군,0,10만원 미만
  여자,  70세이상,  인천,단순가족/친지/친구방문,  4월,없음,경기도,시흥시,0,10만원 미만
  여자,  40대,  인천,단순관광,  4월,친구/연인,전라남도,완도군,1,20만원 이상 30만원 미만
  남자,  30대,  인천,단순관광,  4월,친구/연인,전라북도,군산시,0,20만원 이상 30만원 미만
  남자,  50대,  인천,단순가족/친지/친구방문,  4월,없음,대구광역시,달성군,0,30만원 이상
  여자,  20대,  인천,단순가족/친지/친구방문,  5월,없음,경기도,성남시,0,10만원 이상 20만원 미만
  남자,  30대,  인천,단순관광,  5월,가족,경기도,양평군,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  5월,친구/연인,충청남도,금산군,0,10만원 미만
  남자,  50대,  인천,단순관광,  5월,가족,강원도,속초시,0,20만원 이상 30만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  5월,없음,경기도,구리시,0,20만원 이상 30만원 미만
  여자,  30대,  인천,단순관광,  5월,친구/연인,서울특별시,종로구,0,10만원 미만
  여자,  20대,  인천,단순관광,  6월,친구/연인,강원도,춘천시,0,10만원 이상 20만원 미만
  남자,  20대,  인천,단순관광,  6월,친구/연인,경기도,가평군,0,10만원 미만
  여자,  50대,  인천,가족/친지/친구방문(관광포함),  6월,친구/연인,강원도,춘천시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  6월,가족,강원도,평창군,0,30만원 이상
  여자,  30대,  인천,단순관광,  6월,친구/연인,서울특별시,관악구,0,10만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  6월,없음,경기도,광주시,0,10만원 이상 20만원 미만
  남자,  60대,  인천,단순관광,  7월,친구/연인,충청북도,제천시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  7월,가족,경기도,고양시,0,30만원 이상
  남자,  70세이상,  인천,단순가족/친지/친구방문,  7월,없음,경기도,수원시,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순가족/친지/친구방문,  7월,친구/연인,강원도,춘천시,0,10만원 이상 20만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  7월,가족,경기도,김포시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  8월,친구/연인,경기도,하남시,0,10만원 미만
  남자,  60대,  인천,단순관광,  8월,가족,경기도,성남시,0,10만원 미만
  여자,  60대,  인천,단순관광,  8월,친구/연인,강원도,양양군,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순관광,  8월,가족,경기도,수원시,0,10만원 미만
  남자,  50대,  인천,단순관광,  8월,없음,서울특별시,종로구,0,10만원 미만
  여자,  40대,  인천,단순관광,  8월,친구/연인,경기도,고양시,0,10만원 미만
  여자,  30대,  인천,단순가족/친지/친구방문,  7월,없음,경기도,이천시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  8월,친구/연인,경기도,가평군,1,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  8월,친구/연인,경기도,안산시,0,10만원 미만
  남자,  50대,  인천,단순관광,  8월,가족,경기도,안산시,0,10만원 미만
  남자,  20대,  인천,단순관광,  8월,친구/연인,서울특별시,중구,0,10만원 미만
  여자,  30대,  인천,단순관광,  8월,가족,강원도,양양군,1,10만원 이상 20만원 미만
  여자,  70세이상,  인천,단순가족/친지/친구방문,  9월,없음,경기도,김포시,0,10만원 미만
  남자,  30대,  인천,단순관광,  9월,가족,서울특별시,종로구,0,10만원 미만
  여자,  20대,  인천,단순가족/친지/친구방문,  9월,없음,서울특별시,강동구,0,10만원 미만
  여자,  60대,  인천,단순가족/친지/친구방문,  9월,가족,경기도,남양주시,0,10만원 미만
  여자,  70세이상,  인천,가족/친지/친구방문(관광포함),  9월,친구/연인,경기도,파주시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,출장/업무(관광포함),  9월,친구/연인,서울특별시,서대문구,0,10만원 미만
  남자,  70세이상,  인천,단순가족/친지/친구방문,  9월,없음,서울특별시,광진구,1,10만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  9월,없음,경기도,김포시,0,10만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  9월,없음,전라북도,군산시,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순출장/업무,  10월,가족,서울특별시,송파구,0,10만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  10월,가족,서울특별시,동작구,0,10만원 미만
  여자,  30대,  인천,가족/친지/친구방문(관광포함),  10월,가족,경기도,시흥시,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  10월,친구/연인,강원도,춘천시,0,10만원 미만
  남자,  60대,  인천,단순가족/친지/친구방문,  11월,친구/연인,서울특별시,영등포구,0,10만원 미만
  남자,  20대,  인천,단순관광,  11월,친구/연인,강원도,홍천군,1,30만원 이상
  여자,  50대,  인천,단순가족/친지/친구방문,  11월,없음,강원도,횡성군,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순출장/업무,  11월,없음,서울특별시,중구,0,10만원 미만
  여자,  60대,  인천,가족/친지/친구방문(관광포함),  11월,친구/연인,강원도,인제군,1,30만원 이상
  남자,  30대,  인천,단순관광,  11월,친구/연인,경기도,김포시,0,10만원 미만
  남자,  60대,  인천,단순관광,  11월,가족,충청남도,부여군,1,30만원 이상
  여자,  50대,  인천,단순관광,  11월,친구/연인,경기도,가평군,0,10만원 미만
  여자,  40대,  인천,가족/친지/친구방문(관광포함),  11월,친구/연인,서울특별시,중구,0,10만원 미만
  남자,  30대,  인천,단순관광,  12월,가족,강원도,홍천군,1,30만원 이상
  남자,  60대,  인천,단순출장/업무,  12월,없음,경기도,여주시,0,10만원 미만
  여자,  20대,  인천,단순관광,  12월,친구/연인,서울특별시,종로구,0,10만원 미만
  남자,  20대,  인천,단순관광,  12월,친구/연인,강원도,강릉시,1,30만원 이상
  남자,  40대,  인천,단순관광,  1월,가족,경기도,안산시,0,20만원 이상 30만원 미만
  여자,  70세이상,  인천,단순관광,  2월,가족,경기도,수원시,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  2월,없음,전라북도,고창군,1,30만원 이상
  여자,  50대,  인천,단순가족/친지/친구방문,  3월,없음,경기도,김포시,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순가족/친지/친구방문,  4월,없음,대전광역시,서구,0,10만원 이상 20만원 미만
  여자,  70세이상,  인천,단순가족/친지/친구방문,  4월,없음,경기도,군포시,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  4월,친구/연인,서울특별시,중구,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  12월,친구/연인,서울특별시,마포구,0,10만원 미만
  여자,  60대,  인천,단순관광,  12월,친구/연인,경기도,파주시,0,10만원 미만
  남자,  40대,  인천,가족/친지/친구방문(관광포함),  12월,가족,서울특별시,중구,0,10만원 미만
  여자,  50대,  인천,단순관광,  12월,가족,경기도,화성시,0,10만원 이상 20만원 미만
  남자,  20대,  인천,단순관광,  5월,친구/연인,경기도,파주시,0,20만원 이상 30만원 미만
  남자,  40대,  인천,단순관광,  5월,가족,경기도,파주시,0,10만원 미만
  여자,  50대,  인천,가족/친지/친구방문(관광포함),  5월,가족,충청북도,단양군,0,10만원 이상 20만원 미만
  여자,  30대,  인천,단순관광,  5월,친구/연인,경기도,용인시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  1월,없음,광주광역시,광산구,1,20만원 이상 30만원 미만
  여자,  60대,  인천,단순가족/친지/친구방문,  1월,없음,충청북도,옥천군,1,20만원 이상 30만원 미만
  남자,  30대,  인천,단순출장/업무,  1월,없음,세종특별자치시,세종시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,가족/친지/친구방문(관광포함),  1월,친구/연인,경기도,가평군,0,10만원 미만
  남자,  40대,  인천,단순관광,  6월,가족,경기도,화성시,1,20만원 이상 30만원 미만
  남자,  30대,  인천,단순관광,  6월,가족,전라북도,김제시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  7월,친구/연인,충청북도,제천시,1,10만원 이상 20만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  7월,없음,경기도,남양주시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  7월,가족,경기도,양주시,0,20만원 이상 30만원 미만
  남자,  30대,  인천,출장/업무(관광포함),  8월,친구/연인,서울특별시,중구,0,10만원 미만
  여자,  40대,  인천,단순관광,  8월,가족,경기도,고양시,0,10만원 미만
  여자,  20대,  인천,단순관광,  8월,친구/연인,서울특별시,용산구,0,10만원 미만
  여자,  50대,  인천,단순가족/친지/친구방문,  2월,친구/연인,강원도,춘천시,0,20만원 이상 30만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  2월,없음,강원도,철원군,1,20만원 이상 30만원 미만
  남자,  60대,  인천,단순가족/친지/친구방문,  2월,없음,충청북도,제천시,1,20만원 이상 30만원 미만
  여자,  60대,  인천,단순가족/친지/친구방문,  2월,없음,강원도,평창군,1,10만원 이상 20만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  9월,없음,서울특별시,강북구,1,10만원 이상 20만원 미만
  남자,  40대,  인천,가족/친지/친구방문(관광포함),  9월,가족,부산광역시,서구,1,30만원 이상
  남자,  20대,  인천,단순관광,  10월,친구/연인,서울특별시,종로구,0,10만원 미만
  여자,  50대,  인천,단순관광,  10월,친구/연인,경기도,파주시,1,30만원 이상
  여자,  70세이상,  인천,단순관광,  10월,친구/연인,경기도,김포시,0,10만원 미만
  여자,  30대,  인천,단순가족/친지/친구방문,  10월,가족,경기도,고양시,0,10만원 미만
  여자,  40대,  인천,단순관광,  10월,친구/연인,경기도,파주시,0,10만원 미만
  남자,  30대,  인천,단순관광,  10월,친구/연인,경기도,남양주시,0,10만원 미만
  남자,  40대,  인천,단순관광,  10월,가족,강원도,속초시,0,10만원 미만
  여자,  30대,  인천,단순관광,  3월,친구/연인,경기도,양평군,0,10만원 미만
  여자,  50대,  인천,단순관광,  3월,친구/연인,강원도,춘천시,0,10만원 미만
  남자,  40대,  인천,단순출장/업무,  3월,없음,대구광역시,달성군,1,20만원 이상 30만원 미만
  남자,  60대,  인천,단순가족/친지/친구방문,  3월,없음,경기도,부천시,0,10만원 미만
  여자,  60대,  인천,단순관광,  3월,친구/연인,전라남도,여수시,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순출장/업무,  11월,없음,울산광역시,남구,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  4월,가족,충청남도,서산시,0,20만원 이상 30만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  4월,가족,서울특별시,동대문구,0,10만원 미만
  여자,  20대,  인천,단순관광,  12월,친구/연인,서울특별시,영등포구,0,20만원 이상 30만원 미만
  여자,  40대,  인천,단순관광,  12월,가족,경기도,파주시,0,10만원 미만
  여자,  30대,  인천,단순관광,  12월,가족,충청남도,홍성군,0,10만원 이상 20만원 미만
  남자,  15~19세,  인천,단순관광,  5월,가족,서울특별시,영등포구,0,10만원 미만
  여자,  40대,  인천,단순관광,  5월,가족,경기도,포천시,1,30만원 이상
  남자,  15~19세,  인천,단순관광,  5월,친구/연인,서울특별시,강서구,0,10만원 미만
  남자,  40대,  인천,단순관광,  6월,없음,경기도,화성시,0,10만원 미만
  여자,  40대,  인천,단순출장/업무,  6월,없음,경기도,시흥시,0,10만원 미만
  여자,  15~19세,  인천,단순관광,  6월,친구/연인,서울특별시,영등포구,0,10만원 미만
  여자,  30대,  인천,단순관광,  6월,친구/연인,경기도,파주시,0,10만원 이상 20만원 미만
  여자,  60대,  인천,단순관광,  6월,가족,전라남도,고흥군,1,30만원 이상
  남자,  40대,  인천,단순관광,  6월,가족,강원도,인제군,1,30만원 이상
  여자,  50대,  인천,단순가족/친지/친구방문,  1월,없음,서울특별시,용산구,1,10만원 미만
  여자,  20대,  인천,단순가족/친지/친구방문,  1월,친구/연인,서울특별시,마포구,0,10만원 미만
  여자,  40대,  인천,단순가족/친지/친구방문,  1월,없음,서울특별시,동작구,1,10만원 미만
  여자,  70세이상,  인천,단순관광,  1월,가족,강원도,강릉시,1,30만원 이상
  남자,  40대,  인천,단순가족/친지/친구방문,  1월,없음,경기도,화성시,1,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  7월,가족,전라북도,부안군,1,30만원 이상
  여자,  50대,  인천,단순관광,  7월,가족,경기도,포천시,1,30만원 이상
  남자,  20대,  인천,단순관광,  7월,친구/연인,경기도,파주시,0,20만원 이상 30만원 미만
  여자,  70세이상,  인천,단순관광,  7월,가족,경기도,안산시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  7월,가족,경기도,수원시,0,10만원 이상 20만원 미만
  여자,  50대,  인천,단순관광,  7월,친구/연인,충청북도,괴산군,1,10만원 이상 20만원 미만
  여자,  20대,  인천,단순관광,  7월,가족,경기도,용인시,0,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  7월,친구/연인,충청북도,진천군,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순가족/친지/친구방문,  2월,없음,서울특별시,강남구,0,10만원 미만
  남자,  20대,  인천,단순가족/친지/친구방문,  2월,없음,경기도,성남시,0,10만원 미만
  남자,  20대,  인천,단순가족/친지/친구방문,  2월,없음,강원도,강릉시,1,10만원 이상 20만원 미만
  남자,  50대,  인천,단순관광,  2월,가족,경기도,가평군,0,10만원 이상 20만원 미만
  남자,  50대,  인천,단순가족/친지/친구방문,  3월,없음,충청남도,홍성군,1,10만원 이상 20만원 미만
  남자,  40대,  인천,단순가족/친지/친구방문,  3월,없음,경기도,김포시,0,10만원 이상 20만원 미만
  여자,  20대,  인천,단순가족/친지/친구방문,  3월,없음,서울특별시,강남구,0,10만원 미만
  남자,  30대,  인천,단순가족/친지/친구방문,  3월,없음,충청남도,서산시,1,10만원 이상 20만원 미만
  여자,  40대,  인천,단순관광,  3월,가족,경기도,안산시,1,30만원 이상
  여자,  60대,  인천,가족/친지/친구방문(관광포함),  3월,없음,경기도,광명시,0,10만원 미만
  남자,  15~19세,  인천,단순출장/업무,  3월,없음,서울특별시,은평구,0,10만원 미만
  남자,  40대,  인천,단순관광,  8월,친구/연인,경기도,시흥시,0,20만원 이상 30만원 미만
  남자,  50대,  인천,가족/친지/친구방문(관광포함),  8월,친구/연인,대전광역시,대덕구,0,10만원 미만
