ID,SA1_1,BINC1,DQ7
11050530101_429682,1,  200~300만원미만,보유하고 있음
11050530101_429684,0,  500~600만원미만,보유하고 있음
11050530101_429688,0,  500~600만원미만,보유하고 있음
11050530101_429691,1,  500~600만원미만,보유하고 있음
11050530101_429696,0,  200~300만원미만,보유하고 있음
11050530101_429699,0,  400~500만원미만,보유하고 있음
11050530101_429702,0,  300~400만원미만,보유하고 있음
11050530101_429712,0,  400~500만원미만,보유하고 있음
11050530101_429721,1,  200~300만원미만,보유하지 않음
11050532071_454894,1,  200~300만원미만,보유하지 않음
11050532071_454902,0,  100만원미만,보유하지 않음
11050532071_454903,1,  100만원미만,보유하고 있음
11050532071_454918,1,  400~500만원미만,보유하고 있음
11050532071_454926,0,  300~400만원미만,보유하고 있음
11050532071_454936,0,  100~200만원미만,보유하지 않음
11050532071_454948,0,  500~600만원미만,보유하고 있음
11050532071_454950,0,  400~500만원미만,보유하고 있음
11050532071_454955,0,  400~500만원미만,보유하고 있음
11050532071_454963,1,  400~500만원미만,보유하고 있음
11050540731_480238,0,  400~500만원미만,보유하고 있음
11050540731_480243,1,  400~500만원미만,보유하고 있음
11050540731_480247,1,  500~600만원미만,보유하고 있음
11050540731_480251,0,  500~600만원미만,보유하고 있음
11050540731_480254,0,  200~300만원미만,보유하지 않음
11050540731_480260,0,  300~400만원미만,보유하고 있음
11050540731_480274,0,  600만원 이상,보유하고 있음
11050540731_480281,0,  100만원미만,보유하지 않음
11050540731_480288,0,  500~600만원미만,보유하고 있음
11050540731_480302,0,  300~400만원미만,보유하고 있음
11050550631_505089,0,  200~300만원미만,보유하지 않음
11050550631_505096,0,  400~500만원미만,보유하지 않음
11050550631_505101,2,  300~400만원미만,보유하고 있음
11050550631_505105,1,  300~400만원미만,보유하고 있음
11050550631_505110,0,  400~500만원미만,보유하지 않음
11050550631_505118,0,  600만원 이상,보유하고 있음
11050550631_505122,0,  300~400만원미만,보유하고 있음
11050550631_505130,0,  600만원 이상,보유하고 있음
11050550631_505154,1,  200~300만원미만,보유하지 않음
11050550631_505162,0,  600만원 이상,보유하고 있음
11050561141_530395,1,  500~600만원미만,보유하고 있음
11050561141_530400,1,  200~300만원미만,보유하고 있음
11050561141_530403,0,  400~500만원미만,보유하지 않음
11050561141_530404,0,  100~200만원미만,보유하지 않음
11050561141_530406,1,  500~600만원미만,보유하고 있음
11050561141_530414,0,  500~600만원미만,보유하고 있음
11050561141_530422,0,  600만원 이상,보유하고 있음
11050561141_530445,0,  300~400만원미만,보유하고 있음
11050561141_530454,0,  400~500만원미만,보유하지 않음
11050561141_530462,0,  300~400만원미만,보유하지 않음
11050571261_555981,1,  400~500만원미만,보유하고 있음
11050571261_555984,0,  200~300만원미만,보유하고 있음
11050571261_555986,1,  500~600만원미만,보유하고 있음
11050571261_555991,0,  400~500만원미만,보유하고 있음
11050571261_555994,0,  300~400만원미만,보유하지 않음
11050571261_555995,0,  200~300만원미만,보유하지 않음
11050571261_555999,0,  100만원미만,보유하지 않음
11050571261_556006,0,  300~400만원미만,보유하고 있음
11050571261_556012,0,  400~500만원미만,보유하고 있음
11050571261_556023,2,  600만원 이상,보유하고 있음
11050581641_277827,0,  200~300만원미만,보유하고 있음
11050581641_277834,0,  200~300만원미만,보유하고 있음
11050581641_277836,0,  500~600만원미만,보유하고 있음
11050581641_277840,1,  500~600만원미만,보유하고 있음
11050581641_277844,0,  300~400만원미만,보유하고 있음
11050581641_277845,0,  600만원 이상,보유하고 있음
11050581641_277848,0,  400~500만원미만,보유하고 있음
11050581641_277854,1,  500~600만원미만,보유하고 있음
11050581641_277859,1,  300~400만원미만,보유하고 있음
11050581641_277861,0,  500~600만원미만,보유하고 있음
11050581641_277893,0,  500~600만원미만,보유하고 있음
11050600291_302794,0,  300~400만원미만,보유하지 않음
11050600291_302796,1,  300~400만원미만,보유하고 있음
11050600291_302801,0,  300~400만원미만,보유하고 있음
11050600291_302803,0,  300~400만원미만,보유하고 있음
11050600291_302804,0,  300~400만원미만,보유하고 있음
11050600291_302807,1,  200~300만원미만,보유하지 않음
11050600291_302810,0,  400~500만원미만,보유하고 있음
11050600291_302813,0,  400~500만원미만,보유하고 있음
11050600291_302823,0,  300~400만원미만,보유하고 있음
11050600291_302836,0,  400~500만원미만,보유하고 있음
11050610041_328712,0,  100~200만원미만,보유하지 않음
11050610041_328715,0,  300~400만원미만,보유하고 있음
11050610041_328721,1,  600만원 이상,보유하고 있음
11050610041_328730,0,  200~300만원미만,보유하지 않음
11050610041_328731,0,  300~400만원미만,보유하고 있음
11050610041_328732,1,  600만원 이상,보유하고 있음
11050610041_328733,1,  500~600만원미만,보유하고 있음
11050610041_328739,0,  500~600만원미만,보유하고 있음
11050610041_328764,0,  500~600만원미만,보유하고 있음
11050610041_328772,0,  400~500만원미만,보유하고 있음
1105061179A_505172,1,  600만원 이상,보유하고 있음
1105061179A_505177,0,  600만원 이상,보유하고 있음
1105061179A_505185,0,  200~300만원미만,보유하지 않음
1105061179A_505191,0,  300~400만원미만,보유하고 있음
1105061179A_505194,1,  600만원 이상,보유하고 있음
1105061179A_505198,0,  600만원 이상,보유하고 있음
1105061179A_505207,1,  600만원 이상,보유하고 있음
1105061179A_505209,1,  400~500만원미만,보유하고 있음
